name,japanese_name,percentage_male,type1,type2,height_m,weight_kg,capture_rate,base_egg_steps,base_happiness,abilities,experience_growth,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary,classification
Bulbasaur,Fushigidaneフシギダネ,88.1,grass,poison,0.7,6.9,45,5120,70,"[""Overgrow"", ""Chlorophyll""]",1059860,45,49,49,65,65,45,1,0,Seed Pokémon
Ivysaur,Fushigisouフシギソウ,88.1,grass,poison,1.0,13.0,45,5120,70,"[""Overgrow"", ""Chlorophyll""]",1059860,60,62,63,80,80,60,1,0,Seed Pokémon
Venusaur,Fushigibanaフシギバナ,88.1,grass,poison,2.0,100.0,45,5120,70,"[""Overgrow"", ""Chlorophyll""]",1059860,80,100,123,122,120,80,1,0,Seed Pokémon
Charmander,Hitokageヒトカゲ,88.1,fire,,0.6,8.5,45,5120,70,"[""Blaze"", ""Solar Power""]",1059860,39,52,43,60,50,65,1,0,Lizard Pokémon
Charmeleon,Lizardoリザード,88.1,fire,,1.1,19.0,45,5120,70,"[""Blaze"", ""Solar Power""]",1059860,58,64,58,80,65,80,1,0,Flame Pokémon
Charizard,Lizardonリザードン,88.1,fire,flying,1.7,90.5,45,5120,70,"[""Blaze"", ""Solar Power""]",1059860,78,104,78,159,115,100,1,0,Flame Pokémon
Squirtle,Zenigameゼニガメ,88.1,water,,0.5,9.0,45,5120,70,"[""Torrent"", ""Rain Dish""]",1059860,44,48,65,50,64,43,1,0,Tiny Turtle Pokémon
Wartortle,Kameilカメール,88.1,water,,1.0,22.5,45,5120,70,"[""Torrent"", ""Rain Dish""]",1059860,59,63,80,65,80,58,1,0,Turtle Pokémon
Blastoise,Kamexカメックス,88.1,water,,1.6,85.5,45,5120,70,"[""Torrent"", ""Rain Dish""]",1059860,79,103,120,135,115,78,1,0,Shellfish Pokémon
Caterpie,Caterpieキャタピー,50.0,bug,,0.3,2.9,255,3840,70,"[""Shield Dust"", ""Run Away""]",1000000,45,30,35,20,20,45,1,0,Worm Pokémon
Metapod,Transelトランセル,50.0,bug,,0.7,9.9,120,3840,70,"[""Shed Skin""]",1000000,50,20,55,25,25,30,1,0,Cocoon Pokémon
Butterfree,Butterfreeバタフリー,50.0,bug,flying,1.1,32.0,45,3840,70,"[""Compoundeyes"", ""Tinted Lens""]",1000000,60,45,50,90,80,70,1,0,Butterfly Pokémon
Weedle,Beedleビードル,50.0,bug,poison,0.3,3.2,255,3840,70,"[""Shield Dust"", ""Run Away""]",1000000,40,35,30,20,20,50,1,0,Hairy Pokémon
Kakuna,Cocoonコクーン,50.0,bug,poison,0.6,10.0,120,3840,70,"[""Shed Skin""]",1000000,45,25,50,25,25,35,1,0,Cocoon Pokémon
Beedrill,Spearスピアー,50.0,bug,poison,1.0,29.5,45,3840,70,"[""Swarm"", ""Sniper""]",1000000,65,150,40,15,80,145,1,0,Poison Bee Pokémon
Pidgey,Poppoポッポ,50.0,normal,flying,0.3,1.8,255,3840,70,"[""Keen Eye"", ""Tangled Feet"", ""Big Pecks""]",1059860,40,45,40,35,35,56,1,0,Tiny Bird Pokémon
Pidgeotto,Pigeonピジョン,50.0,normal,flying,1.1,30.0,120,3840,70,"[""Keen Eye"", ""Tangled Feet"", ""Big Pecks""]",1059860,63,60,55,50,50,71,1,0,Bird Pokémon
Pidgeot,Pigeotピジョット,50.0,normal,flying,1.5,39.5,45,3840,70,"[""Keen Eye"", ""Tangled Feet"", ""Big Pecks""]",1059860,83,80,80,135,80,121,1,0,Bird Pokémon
Rattata,Korattaコラッタ,50.0,normal,dark,,,255,3840,70,"[""Run Away"", ""Guts"", ""Hustle"", ""Gluttony"", ""Hustle"", ""Thick Fat""]",1000000,30,56,35,25,35,72,1,0,Mouse Pokémon
Raticate,Rattaラッタ,50.0,normal,dark,,,127,3840,70,"[""Run Away"", ""Guts"", ""Hustle"", ""Gluttony"", ""Hustle"", ""Thick Fat""]",1000000,75,71,70,40,80,77,1,0,Mouse Pokémon
Spearow,Onisuzumeオニスズメ,50.0,normal,flying,0.3,2.0,255,3840,70,"[""Keen Eye"", ""Sniper""]",1000000,40,60,30,31,31,70,1,0,Tiny Bird Pokémon
Fearow,Onidrillオニドリル,50.0,normal,flying,1.2,38.0,90,3840,70,"[""Keen Eye"", ""Sniper""]",1000000,65,90,65,61,61,100,1,0,Beak Pokémon
Ekans,Arboアーボ,50.0,poison,,2.0,6.9,255,5120,70,"[""Intimidate"", ""Shed Skin"", ""Unnerve""]",1000000,35,60,44,40,54,55,1,0,Snake Pokémon
Arbok,Arbokアーボック,50.0,poison,,3.5,65.0,90,5120,70,"[""Intimidate"", ""Shed Skin"", ""Unnerve""]",1000000,60,95,69,65,79,80,1,0,Cobra Pokémon
Pikachu,Pikachuピカチュウ,50.0,electric,,0.4,6.0,190,2560,70,"[""Static"", ""Lightningrod""]",1000000,35,55,40,50,50,90,1,0,Mouse Pokémon
Raichu,Raichuライチュウ,50.0,electric,electric,,,75,2560,70,"[""Static"", ""Lightningrod"", ""Surge Surfer""]",1000000,60,85,50,95,85,110,1,0,Mouse Pokémon
Sandshrew,Sandサンド,50.0,ground,ice,,,255,5120,70,"[""Sand Veil"", ""Sand Rush"", ""Snow Cloak"", ""Slush Rush""]",1000000,50,75,90,10,35,40,1,0,Mouse Pokémon
Sandslash,Sandpanサンドパン,50.0,ground,ice,,,90,5120,70,"[""Sand Veil"", ""Sand Rush"", ""Snow Cloak"", ""Slush Rush""]",1000000,75,100,120,25,65,65,1,0,Mouse Pokémon
Nidoran♀,Nidoran?ニドラン♀,0.0,poison,,0.4,7.0,235,5120,70,"[""Poison Point"", ""Rivalry"", ""Hustle""]",1059860,55,47,52,40,40,41,1,0,Poison Pin Pokémon
Nidorina,Nidorinaニドリーナ,0.0,poison,,0.8,20.0,120,5120,70,"[""Poison Point"", ""Rivalry"", ""Hustle""]",1059860,70,62,67,55,55,56,1,0,Poison Pin Pokémon
Nidoqueen,Nidoqueenニドクイン,0.0,poison,ground,1.3,60.0,45,5120,70,"[""Poison Point"", ""Rivalry"", ""Sheer Force""]",1059860,90,92,87,75,85,76,1,0,Drill Pokémon
Nidoran♂,Nidoran?ニドラン♂,100.0,poison,,0.5,9.0,235,5120,70,"[""Poison Point"", ""Rivalry"", ""Hustle""]",1059860,46,57,40,40,40,50,1,0,Poison Pin Pokémon
Nidorino,Nidorinoニドリーノ,100.0,poison,,0.9,19.5,120,5120,70,"[""Poison Point"", ""Rivalry"", ""Hustle""]",1059860,61,72,57,55,55,65,1,0,Poison Pin Pokémon
Nidoking,Nidokingニドキング,100.0,poison,ground,1.4,62.0,45,5120,70,"[""Poison Point"", ""Rivalry"", ""Sheer Force""]",1059860,81,102,77,85,75,85,1,0,Drill Pokémon
Clefairy,Pippiピッピ,24.6,fairy,,0.6,7.5,150,2560,140,"[""Cute Charm"", ""Magic Guard"", ""Friend Guard""]",800000,70,45,48,60,65,35,1,0,Fairy Pokémon
Clefable,Pixyピクシー,24.6,fairy,,1.3,40.0,25,2560,140,"[""Cute Charm"", ""Magic Guard"", ""Unaware""]",800000,95,70,73,95,90,60,1,0,Fairy Pokémon
Vulpix,Rokonロコン,24.6,fire,ice,,,190,5120,70,"[""Flash Fire"", ""Drought"", ""Snow Cloak"", ""Snow Warning""]",1000000,38,41,40,50,65,65,1,0,Fox Pokémon
Ninetales,Kyukonキュウコン,24.6,fire,ice,,,75,5120,70,"[""Flash Fire"", ""Drought"", ""Snow Cloak"", ""Snow Warning""]",1000000,73,67,75,81,100,109,1,0,Fox Pokémon
Jigglypuff,Purinプリン,24.6,normal,fairy,0.5,5.5,170,2560,70,"[""Cute Charm"", ""Competitive"", ""Friend Guard""]",800000,115,45,20,45,25,20,1,0,Balloon Pokémon
Wigglytuff,Pukurinプクリン,24.6,normal,fairy,1.0,12.0,50,2560,70,"[""Cute Charm"", ""Competitive"", ""Frisk""]",800000,140,70,45,85,50,45,1,0,Balloon Pokémon
Zubat,Zubatズバット,50.0,poison,flying,0.8,7.5,255,3840,70,"[""Inner Focus"", ""Infiltrator""]",1000000,40,45,35,30,40,55,1,0,Bat Pokémon
Golbat,Golbatゴルバット,50.0,poison,flying,1.6,55.0,90,3840,70,"[""Inner Focus"", ""Infiltrator""]",1000000,75,80,70,65,75,90,1,0,Bat Pokémon
Oddish,Nazonokusaナゾノクサ,50.0,grass,poison,0.5,5.4,255,5120,70,"[""Chlorophyll"", ""Run Away""]",1059860,45,50,55,75,65,30,1,0,Weed Pokémon
Gloom,Kusaihanaクサイハナ,50.0,grass,poison,0.8,8.6,120,5120,70,"[""Chlorophyll"", ""Stench""]",1059860,60,65,70,85,75,40,1,0,Weed Pokémon
Vileplume,Ruffresiaラフレシア,50.0,grass,poison,1.2,18.6,45,5120,70,"[""Chlorophyll"", ""Effect Spore""]",1059860,75,80,85,110,90,50,1,0,Flower Pokémon
Paras,Parasパラス,50.0,bug,grass,0.3,5.4,190,5120,70,"[""Effect Spore"", ""Dry Skin"", ""Damp""]",1000000,35,70,55,45,55,25,1,0,Mushroom Pokémon
Parasect,Parasectパラセクト,50.0,bug,grass,1.0,29.5,75,5120,70,"[""Effect Spore"", ""Dry Skin"", ""Damp""]",1000000,60,95,80,60,80,30,1,0,Mushroom Pokémon
Venonat,Kongpangコンパン,50.0,bug,poison,1.0,30.0,190,5120,70,"[""Compoundeyes"", ""Tinted Lens"", ""Run Away""]",1000000,60,55,50,40,55,45,1,0,Insect Pokémon
Venomoth,Morphonモルフォン,50.0,bug,poison,1.5,12.5,75,5120,70,"[""Shield Dust"", ""Tinted Lens"", ""Wonder Skin ""]",1000000,70,65,60,90,75,90,1,0,Poison Moth Pokémon
Diglett,Digdaディグダ,50.0,ground,ground,,,255,5120,70,"[""Sand Veil"", ""Arena Trap"", ""Sand Force"", ""Sand Veil"", ""Tangling Hair"", ""Sand Force""]",1000000,10,55,30,35,45,90,1,0,Mole Pokémon
Dugtrio,Dugtrioダグトリオ,50.0,ground,ground,,,50,5120,70,"[""Sand Veil"", ""Arena Trap"", ""Sand Force"", ""Sand Veil"", ""Tangling Hair"", ""Sand Force""]",1000000,35,100,60,50,70,110,1,0,Mole Pokémon
Meowth,Nyarthニャース,50.0,normal,dark,,,255,5120,70,"[""Pickup"", ""Technician"", ""Unnerve"", ""Pickup"", ""Technician"", ""Rattled""]",1000000,40,35,35,50,40,90,1,0,Scratch Cat Pokémon
Persian,Persianペルシアン,50.0,normal,dark,,,90,5120,70,"[""Limber"", ""Technician"", ""Unnerve"", ""Fur Coat"", ""Technician"", ""Rattled""]",1000000,65,60,60,75,65,115,1,0,Classy Cat Pokémon
Psyduck,Koduckコダック,50.0,water,,0.8,19.6,190,5120,70,"[""Damp"", ""Cloud Nine"", ""Swift Swim""]",1000000,50,52,48,65,50,55,1,0,Duck Pokémon
Golduck,Golduckゴルダック,50.0,water,,1.7,76.6,75,5120,70,"[""Damp"", ""Cloud Nine"", ""Swift Swim""]",1000000,80,82,78,95,80,85,1,0,Duck Pokémon
