ObservationDate,Province/State,Country/Region,Confirmed,Deaths,Recovered
2020-01-22,Anhui,Mainland China,1.0,0.0,0.0
2020-01-22,Beijing,Mainland China,14.0,0.0,0.0
2020-01-22,Chongqing,Mainland China,6.0,0.0,0.0
2020-01-22,Fujian,Mainland China,1.0,0.0,0.0
2020-01-22,Gansu,Mainland China,0.0,0.0,0.0
2020-01-22,Guangdong,Mainland China,26.0,0.0,0.0
2020-01-22,Guangxi,Mainland China,2.0,0.0,0.0
2020-01-22,Guizhou,Mainland China,1.0,0.0,0.0
2020-01-22,Hainan,Mainland China,4.0,0.0,0.0
2020-01-22,Hebei,Mainland China,1.0,0.0,0.0
2020-01-22,Heilongjiang,Mainland China,0.0,0.0,0.0
2020-01-22,Henan,Mainland China,5.0,0.0,0.0
2020-01-22,Hong Kong,Hong Kong,0.0,0.0,0.0
2020-01-22,Hubei,Mainland China,444.0,17.0,28.0
2020-01-22,Hunan,Mainland China,4.0,0.0,0.0
2020-01-22,Inner Mongolia,Mainland China,0.0,0.0,0.0
2020-01-22,Jiangsu,Mainland China,1.0,0.0,0.0
2020-01-22,Jiangxi,Mainland China,2.0,0.0,0.0
2020-01-22,Jilin,Mainland China,0.0,0.0,0.0
2020-01-22,Liaoning,Mainland China,2.0,0.0,0.0
2020-01-22,Macau,Macau,1.0,0.0,0.0
2020-01-22,Ningxia,Mainland China,1.0,0.0,0.0
2020-01-22,Qinghai,Mainland China,0.0,0.0,0.0
2020-01-22,Shaanxi,Mainland China,0.0,0.0,0.0
2020-01-22,Shandong,Mainland China,2.0,0.0,0.0
2020-01-22,Shanghai,Mainland China,9.0,0.0,0.0
2020-01-22,Shanxi,Mainland China,1.0,0.0,0.0
2020-01-22,Sichuan,Mainland China,5.0,0.0,0.0
2020-01-22,Taiwan,Taiwan,1.0,0.0,0.0
2020-01-22,Tianjin,Mainland China,4.0,0.0,0.0
2020-01-22,Tibet,Mainland China,0.0,0.0,0.0
2020-01-22,Washington,US,1.0,0.0,0.0
2020-01-22,Xinjiang,Mainland China,0.0,0.0,0.0
2020-01-22,Yunnan,Mainland China,1.0,0.0,0.0
2020-01-22,Zhejiang,Mainland China,10.0,0.0,0.0
2020-01-22,,Japan,2.0,0.0,0.0
2020-01-22,,Thailand,4.0,0.0,2.0
2020-01-22,,South Korea,1.0,0.0,0.0
2020-01-23,Anhui,Mainland China,9.0,0.0,0.0
2020-01-23,Beijing,Mainland China,22.0,0.0,0.0
2020-01-23,Chongqing,Mainland China,9.0,0.0,0.0
2020-01-23,Fujian,Mainland China,5.0,0.0,0.0
2020-01-23,Gansu,Mainland China,2.0,0.0,0.0
2020-01-23,Guangdong,Mainland China,32.0,0.0,2.0
2020-01-23,Guangxi,Mainland China,5.0,0.0,0.0
2020-01-23,Guizhou,Mainland China,3.0,0.0,0.0
2020-01-23,Hainan,Mainland China,5.0,0.0,0.0
2020-01-23,Hubei,Mainland China,444.0,17.0,28.0
2020-01-23,Heilongjiang,Mainland China,2.0,0.0,0.0
2020-01-23,Henan,Mainland China,5.0,0.0,0.0
2020-01-23,Hong Kong,Hong Kong,2.0,0.0,0.0
2020-01-23,Hubei,Mainland China,444.0,17.0,28.0
