user_id,age,sex,occupation,movie_id,rating,movie_title
1,24,M,technician,61,4,Three Colors: White (1994)
13,47,M,educator,61,4,Three Colors: White (1994)
18,35,F,other,61,4,Three Colors: White (1994)
58,27,M,programmer,61,5,Three Colors: White (1994)
59,49,M,educator,61,4,Three Colors: White (1994)
60,50,M,healthcare,61,4,Three Colors: White (1994)
76,20,M,student,61,4,Three Colors: White (1994)
94,26,M,student,61,5,Three Colors: White (1994)
1,24,M,technician,189,3,"Grand Day Out, A (1992)"
5,33,F,other,189,5,"Grand Day Out, A (1992)"
6,42,M,executive,189,3,"Grand Day Out, A (1992)"
18,35,F,other,189,5,"Grand Day Out, A (1992)"
23,30,F,artist,189,5,"Grand Day Out, A (1992)"
25,39,M,engineer,189,5,"Grand Day Out, A (1992)"
29,41,M,programmer,189,4,"Grand Day Out, A (1992)"
43,29,F,librarian,189,5,"Grand Day Out, A (1992)"
56,25,M,librarian,189,4,"Grand Day Out, A (1992)"
58,27,M,programmer,189,3,"Grand Day Out, A (1992)"
70,27,M,engineer,189,4,"Grand Day Out, A (1992)"
92,32,M,entertainment,189,4,"Grand Day Out, A (1992)"
97,43,M,artist,189,4,"Grand Day Out, A (1992)"
1,24,M,technician,33,4,Desperado (1995)
10,53,M,lawyer,33,4,Desperado (1995)
13,47,M,educator,33,5,Desperado (1995)
16,21,M,entertainment,33,2,Desperado (1995)
59,49,M,educator,33,3,Desperado (1995)
62,27,F,administrator,33,1,Desperado (1995)
87,47,M,administrator,33,3,Desperado (1995)
90,60,M,educator,33,4,Desperado (1995)
94,26,M,student,33,3,Desperado (1995)
95,31,M,administrator,33,3,Desperado (1995)
1,24,M,technician,160,4,Glengarry Glen Ross (1992)
10,53,M,lawyer,160,4,Glengarry Glen Ross (1992)
13,47,M,educator,160,4,Glengarry Glen Ross (1992)
16,21,M,entertainment,160,4,Glengarry Glen Ross (1992)
60,50,M,healthcare,160,4,Glengarry Glen Ross (1992)
64,32,M,educator,160,4,Glengarry Glen Ross (1992)
85,51,M,educator,160,3,Glengarry Glen Ross (1992)
92,32,M,entertainment,160,4,Glengarry Glen Ross (1992)
94,26,M,student,160,4,Glengarry Glen Ross (1992)
1,24,M,technician,20,4,Angels and Insects (1995)
15,49,F,educator,20,3,Angels and Insects (1995)
