total_bill,tip,sex,smoker,time,size
28.97,3.0,Male,Yes,Dinner,2
22.49,3.5,Male,No,Dinner,2
5.75,1.0,Female,Yes,Dinner,2
16.32,4.3,Female,Yes,Dinner,2
22.75,3.25,Female,No,Dinner,2
40.17,4.73,Male,Yes,Dinner,4
27.28,4.0,Male,Yes,Dinner,2
12.03,1.5,Male,Yes,Dinner,2
21.01,3.0,Male,Yes,Dinner,2
12.46,1.5,Male,No,Dinner,2
11.35,2.5,Female,Yes,Dinner,2
15.38,3.0,Female,Yes,Dinner,2
12.16,2.2,Male,Yes,Lunch,2
13.42,3.48,Female,Yes,Lunch,2
8.58,1.92,Male,Yes,Lunch,1
15.98,3.0,Female,No,Lunch,3
13.42,1.58,Male,Yes,Lunch,2
16.27,2.5,Female,Yes,Lunch,2
10.09,2.0,Female,Yes,Lunch,2
