total_bill,tip,sex,smoker,time,size
20.65,3.35,Male,No,Dinner,3
17.92,4.08,Male,No,Dinner,2
20.29,2.75,Female,No,Dinner,2
15.77,2.23,Female,No,Dinner,2
39.42,7.58,Male,No,Dinner,4
19.82,3.18,Male,No,Dinner,2
17.81,2.34,Male,No,Dinner,4
13.37,2.0,Male,No,Dinner,2
12.69,2.0,Male,No,Dinner,2
21.7,4.3,Male,No,Dinner,2
19.65,3.0,Female,No,Dinner,2
9.55,1.45,Male,No,Dinner,2
18.35,2.5,Male,No,Dinner,4
15.06,3.0,Female,No,Dinner,2
20.69,2.45,Female,No,Dinner,4
17.78,3.27,Male,No,Dinner,2
24.06,3.6,Male,No,Dinner,3
16.31,2.0,Male,No,Dinner,3
16.93,3.07,Female,No,Dinner,3
18.69,2.31,Male,No,Dinner,3
31.27,5.0,Male,No,Dinner,3
16.04,2.24,Male,No,Dinner,3
38.01,3.0,Male,Yes,Dinner,4
26.41,1.5,Female,No,Dinner,2
11.24,1.76,Male,Yes,Dinner,2
48.27,6.73,Male,No,Dinner,4
20.29,3.21,Male,Yes,Dinner,2
13.81,2.0,Male,Yes,Dinner,2
11.02,1.98,Male,Yes,Dinner,2
18.29,3.76,Male,Yes,Dinner,4
17.59,2.64,Male,No,Dinner,3
20.08,3.15,Male,No,Dinner,3
16.45,2.47,Female,No,Dinner,2
3.07,1.0,Female,Yes,Dinner,1
20.23,2.01,Male,No,Dinner,2
15.01,2.09,Male,Yes,Dinner,2
12.02,1.97,Male,No,Dinner,2
17.07,3.0,Female,No,Dinner,3
26.86,3.14,Female,Yes,Dinner,2
25.28,5.0,Female,Yes,Dinner,2
14.73,2.2,Female,No,Dinner,2
10.51,1.25,Male,No,Dinner,2
17.92,3.08,Male,Yes,Dinner,2
44.3,2.5,Female,Yes,Dinner,3
22.42,3.48,Female,Yes,Dinner,2
20.92,4.08,Female,No,Dinner,2
15.36,1.64,Male,Yes,Dinner,2
20.49,4.06,Male,Yes,Dinner,2
25.21,4.29,Male,Yes,Dinner,2
18.24,3.76,Male,No,Dinner,2
14.31,4.0,Female,Yes,Dinner,2
14.0,3.0,Male,No,Dinner,2
7.25,1.0,Female,No,Dinner,1
10.59,1.61,Female,Yes,Dinner,2
10.63,2.0,Female,Yes,Dinner,2
50.81,10.0,Male,Yes,Dinner,3
15.81,3.16,Male,Yes,Dinner,2
26.59,3.41,Male,Yes,Dinner,3
38.73,3.0,Male,Yes,Dinner,4
24.27,2.03,Male,Yes,Dinner,2
12.76,2.23,Female,Yes,Dinner,2
30.06,2.0,Male,Yes,Dinner,3
25.89,5.16,Male,Yes,Dinner,4
48.33,9.0,Male,No,Dinner,4
13.27,2.5,Female,Yes,Dinner,2
28.17,6.5,Female,Yes,Dinner,3
12.9,1.1,Female,Yes,Dinner,2
28.15,3.0,Male,Yes,Dinner,5
11.59,1.5,Male,Yes,Dinner,2
7.74,1.44,Male,Yes,Dinner,2
30.14,3.09,Female,Yes,Dinner,4
20.45,3.0,Male,No,Dinner,4
13.28,2.72,Male,No,Dinner,2
22.12,2.88,Female,Yes,Dinner,2
24.01,2.0,Male,Yes,Dinner,4
15.69,3.0,Male,Yes,Dinner,3
11.61,3.39,Male,No,Dinner,2
10.77,1.47,Male,No,Dinner,2
15.53,3.0,Male,Yes,Dinner,2
10.07,1.25,Male,No,Dinner,2
12.6,1.0,Male,Yes,Dinner,2
32.83,1.17,Male,Yes,Dinner,2
35.83,4.67,Female,No,Dinner,3
29.03,5.92,Male,No,Dinner,3
27.18,2.0,Female,Yes,Dinner,2
22.67,2.0,Male,Yes,Dinner,2
17.82,1.75,Male,No,Dinner,2
