total_bill,tip,sex,smoker,time,size
16.99,1.01,Female,No,Dinner,2
10.34,1.66,Male,No,Dinner,3
21.01,3.5,Male,No,Dinner,3
23.68,3.31,Male,No,Dinner,2
24.59,3.61,Female,No,Dinner,4
25.29,4.71,Male,No,Dinner,4
8.77,2.0,Male,No,Dinner,2
26.88,3.12,Male,No,Dinner,4
15.04,1.96,Male,No,Dinner,2
14.78,3.23,Male,No,Dinner,2
10.27,1.71,Male,No,Dinner,2
35.26,5.0,Female,No,Dinner,4
15.42,1.57,Male,No,Dinner,2
18.43,3.0,Male,No,Dinner,4
14.83,3.02,Female,No,Dinner,2
21.58,3.92,Male,No,Dinner,2
10.33,1.67,Female,No,Dinner,3
16.29,3.71,Male,No,Dinner,3
16.97,3.5,Female,No,Dinner,3
17.46,2.54,Male,No,Dinner,2
13.94,3.06,Male,No,Dinner,2
9.68,1.32,Male,No,Dinner,2
30.4,5.6,Male,No,Dinner,4
18.29,3.0,Male,No,Dinner,2
22.23,5.0,Male,No,Dinner,2
32.4,6.0,Male,No,Dinner,4
28.55,2.05,Male,No,Dinner,3
18.04,3.0,Male,No,Dinner,2
12.54,2.5,Male,No,Dinner,2
10.29,2.6,Female,No,Dinner,2
34.81,5.2,Female,No,Dinner,4
9.94,1.56,Male,No,Dinner,2
25.56,4.34,Male,No,Dinner,4
19.49,3.51,Male,No,Dinner,2
38.07,4.0,Male,No,Dinner,3
23.95,2.55,Male,No,Dinner,2
25.71,4.0,Female,No,Dinner,3
17.31,3.5,Female,No,Dinner,2
29.93,5.07,Male,No,Dinner,4
14.07,2.5,Male,No,Dinner,2
13.13,2.0,Male,No,Dinner,2
17.26,2.74,Male,No,Dinner,3
24.55,2.0,Male,No,Dinner,4
19.77,2.0,Male,No,Dinner,4
29.85,5.14,Female,No,Dinner,5
48.17,5.0,Male,No,Dinner,6
25.0,3.75,Female,No,Dinner,4
13.39,2.61,Female,No,Dinner,2
16.49,2.0,Male,No,Dinner,4
21.5,3.5,Male,No,Dinner,4
12.66,2.5,Male,No,Dinner,2
16.21,2.0,Female,No,Dinner,3
13.81,2.0,Male,No,Dinner,2
17.51,3.0,Female,Yes,Dinner,2
24.52,3.48,Male,No,Dinner,3
20.76,2.24,Male,No,Dinner,2
31.71,4.5,Male,No,Dinner,4
7.25,5.15,Male,Yes,Dinner,2
31.85,3.18,Male,Yes,Dinner,2
16.82,4.0,Male,Yes,Dinner,2
32.9,3.11,Male,Yes,Dinner,2
17.89,2.0,Male,Yes,Dinner,2
14.48,2.0,Male,Yes,Dinner,2
9.6,4.0,Female,Yes,Dinner,2
34.63,3.55,Male,Yes,Dinner,2
34.65,3.68,Male,Yes,Dinner,4
23.33,5.65,Male,Yes,Dinner,2
45.35,3.5,Male,Yes,Dinner,3
23.17,6.5,Male,Yes,Dinner,4
40.55,3.0,Male,Yes,Dinner,2
20.69,5.0,Male,No,Dinner,5
20.9,3.5,Female,Yes,Dinner,3
30.46,2.0,Male,Yes,Dinner,5
18.15,3.5,Female,Yes,Dinner,3
23.1,4.0,Male,Yes,Dinner,3
15.69,1.5,Male,Yes,Dinner,2
