total_bill,tip,sex,smoker,time,size
27.2,4.0,Male,No,Lunch,4
22.76,3.0,Male,No,Lunch,2
17.29,2.71,Male,No,Lunch,2
19.44,3.0,Male,Yes,Lunch,2
16.66,3.4,Male,No,Lunch,2
10.07,1.83,Female,No,Lunch,1
32.68,5.0,Male,Yes,Lunch,2
15.98,2.03,Male,No,Lunch,2
34.83,5.17,Female,No,Lunch,4
13.03,2.0,Male,No,Lunch,2
18.28,4.0,Male,No,Lunch,2
24.71,5.85,Male,No,Lunch,2
21.16,3.0,Male,No,Lunch,2
10.65,1.5,Female,No,Lunch,2
12.43,1.8,Female,No,Lunch,2
24.08,2.92,Female,No,Lunch,4
11.69,2.31,Male,No,Lunch,2
13.42,1.68,Female,No,Lunch,2
14.26,2.5,Male,No,Lunch,2
15.95,2.0,Male,No,Lunch,2
12.48,2.52,Female,No,Lunch,2
29.8,4.2,Female,No,Lunch,6
8.52,1.48,Male,No,Lunch,2
14.52,2.0,Female,No,Lunch,2
11.38,2.0,Female,No,Lunch,2
22.82,2.18,Male,No,Lunch,3
19.08,1.5,Male,No,Lunch,2
20.27,2.83,Female,No,Lunch,2
11.17,1.5,Female,No,Lunch,2
12.26,2.0,Female,No,Lunch,2
18.26,3.25,Female,No,Lunch,2
8.51,1.25,Female,No,Lunch,2
10.33,2.0,Female,No,Lunch,2
14.15,2.0,Female,No,Lunch,2
16.0,2.0,Male,Yes,Lunch,2
13.16,2.75,Female,No,Lunch,2
17.47,3.5,Female,No,Lunch,2
34.3,6.7,Male,No,Lunch,6
41.19,5.0,Male,No,Lunch,5
27.05,5.0,Female,No,Lunch,6
16.43,2.3,Female,No,Lunch,2
8.35,1.5,Female,No,Lunch,2
18.64,1.36,Female,No,Lunch,3
11.87,1.63,Female,No,Lunch,2
9.78,1.73,Male,No,Lunch,2
7.51,2.0,Male,No,Lunch,2
19.81,4.19,Female,Yes,Lunch,2
28.44,2.56,Male,Yes,Lunch,2
15.48,2.02,Male,Yes,Lunch,2
16.58,4.0,Male,Yes,Lunch,2
7.56,1.44,Male,No,Lunch,2
10.34,2.0,Male,Yes,Lunch,2
43.11,5.0,Female,Yes,Lunch,4
13.0,2.0,Female,Yes,Lunch,2
13.51,2.0,Male,Yes,Lunch,2
18.71,4.0,Male,Yes,Lunch,3
12.74,2.01,Female,Yes,Lunch,2
13.0,2.0,Female,Yes,Lunch,2
16.4,2.5,Female,Yes,Lunch,2
20.53,4.0,Male,Yes,Lunch,4
16.47,3.23,Female,Yes,Lunch,3
18.78,3.0,Female,No,Dinner,2
