Title,Release.Console,Publisher,Publisher Location,Publisher Established,Notable games published,Publisher Notes,Features.Max Players,Metadata.Genres,Metadata.Publishers,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Rating,Release.Year
Super Mario 64 DS,Nintendo DS,Nintendo,"Kyoto, Japan",1889.0,"*Mario*
*The Legend of Zelda*
*Metroid*
*Pokémon*
*Pikmin*
*Kirby*
*Animal Crossing*",video game developer,1,Action,Nintendo,85,4.69,24.95,E,2004
Lumines: Puzzle Fusion,Sony PSP,Ubisoft,"Montreuil-sous-Bois, France",1986.0,"*Rayman* series
*Assassin's Creed* series
*Far Cry* series
*Ghost Recon* series
*Splinter Cell* series
*Just Dance* series",video game developer,1,Strategy,Ubisoft,89,0.56,14.95,E,2004
WarioWare Touched!,Nintendo DS,Nintendo,"Kyoto, Japan",1889.0,"*Mario*
*The Legend of Zelda*
*Metroid*
*Pokémon*
*Pikmin*
*Kirby*
*Animal Crossing*",video game developer,2,"Action,Racing / Driving,Sports",Nintendo,81,0.54,22.95,E,2004
Hot Shots Golf: Open Tee,Sony PSP,Sony,"San Mateo, California, United States",1993.0,"*Ratchet & Clank* series
*Jak and Daxter* series
*God of War* series
*Killzone* series
*Uncharted* series
*Resistance* series",a.k.a. Sony Interactive Entertainment; publishing under the PlayStation Studios label since 2020,1,Sports,Sony,81,0.49,12.95,E,2004
Spider-Man 2,Nintendo DS,Activision,"Santa Monica, California, United States",1979.0,"*Call of Duty*
*Guitar Hero*
*Spyro*
*Pitfall!*","video game developer; acquired Neversoft in 1999 and Infinity Ward in 2003; 
acquired several other developers as well; merged with Vivendi to form Activision 
Blizzard in 2008",1,Action,Activision,61,0.45,14.95,E,2004
The Urbz: Sims in the City,Nintendo DS,EA,"Redwood City, California, United States",1982.0,"*Battlefield* series
*Medal of Honor* series
*The Sims* series
*The Need for Speed* series",Electronic Arts; video game developer,1,Simulation,EA,67,0.41,12.95,M,2004
Ridge Racer,Sony PSP,Namco,"Tokyo, Japan",1955.0,"*Tekken*
*Pac-Man*
*Ace Combat*
*Time Crisis*
*Ridge Racer*","no longer publishes video games; video game division merged with Bandai's 
video game operations as Namco Bandai Games (then Bandai Namco Entertainment)",1,Racing / Driving,Namco,88,0.36,19.95,E,2004
Metal Gear Ac!d,Sony PSP,Konami,"Tokyo, Japan",1969.0,"*Castlevania*
*Metal Gear*
*Contra*
*International Superstar Soccer*
*Silent Hill*
*Gradius*
*Pro Evolution Soccer*",,1,Strategy,Konami,75,0.34,17.95,E,2004
Madden NFL 2005,Nintendo DS,EA,"Redwood City, California, United States",1982.0,"*Battlefield* series
*Medal of Honor* series
*The Sims* series
*The Need for Speed* series",Electronic Arts; video game developer,1,Sports,EA,68,0.25,8.95,T,2004
Pokmon Dash,Nintendo DS,Nintendo,"Kyoto, Japan",1889.0,"*Mario*
*The Legend of Zelda*
*Metroid*
*Pokémon*
*Pikmin*
*Kirby*
*Animal Crossing*",video game developer,1,Racing / Driving,Nintendo,46,0.22,24.95,T,2004
Dynasty Warriors,Sony PSP,,,,,,1,"Action,Adventure,Role-Playing (RPG)",nan,62,0.2,14.95,E,2004
Feel the Magic XY/XX,Nintendo DS,Sega,"Tokyo, Japan",1960.0,"*Sonic the Hedgehog* series
*Phantasy Star* series
*Virtua Fighter series*",video game developer; merged with Sammy Studios as Sega Sammy Holdings,1,"Action,Adventure,Racing / Driving,Sports",Sega,75,0.16,8.95,T,2004
Ridge Racer DS,Nintendo DS,Namco,"Tokyo, Japan",1955.0,"*Tekken*
*Pac-Man*
*Ace Combat*
*Time Crisis*
*Ridge Racer*","no longer publishes video games; video game division merged with Bandai's 
video game operations as Namco Bandai Games (then Bandai Namco Entertainment)",1,Racing / Driving,Namco,63,0.15,9.95,E,2004
Darkstalkers Chronicle: The Chaos Tower,Sony PSP,Capcom,"Osaka, Japan",1979.0,"*Mega Man* series
*Street Fighter* series
*Resident Evil* series
*Devil May Cry* series",video game developer,1,Action,Capcom,74,0.14,14.95,E,2004
Ape Escape Academy,Sony PSP,Sony,"San Mateo, California, United States",1993.0,"*Ratchet & Clank* series
*Jak and Daxter* series
*God of War* series
*Killzone* series
*Uncharted* series
*Resistance* series",a.k.a. Sony Interactive Entertainment; publishing under the PlayStation Studios label since 2020,4,"Action,Sports",Sony,51,0.13,14.95,E,2004
Polarium,Nintendo DS,Nintendo,"Kyoto, Japan",1889.0,"*Mario*
*The Legend of Zelda*
*Metroid*
*Pokémon*
*Pikmin*
*Kirby*
*Animal Crossing*",video game developer,1,Strategy,Nintendo,73,0.12,8.95,E,2004
Asphalt: Urban GT,Nintendo DS,Ubisoft,"Montreuil-sous-Bois, France",1986.0,"*Rayman* series
*Assassin's Creed* series
*Far Cry* series
*Ghost Recon* series
*Splinter Cell* series
*Just Dance* series",video game developer,1,"Racing / Driving,Simulation",Ubisoft,60,0.11,14.95,E,2004
Zoo Keeper,Nintendo DS,,,,,,1,Action,nan,74,0.1,14.95,T,2004
Mr. DRILLER: Drill Spirits,Nintendo DS,Namco,"Tokyo, Japan",1955.0,"*Tekken*
*Pac-Man*
*Ace Combat*
*Time Crisis*
*Ridge Racer*","no longer publishes video games; video game division merged with Bandai's 
video game operations as Namco Bandai Games (then Bandai Namco Entertainment)",1,Action,Namco,72,0.09,14.95,T,2004
Sprung,Nintendo DS,Ubisoft,"Montreuil-sous-Bois, France",1986.0,"*Rayman* series
*Assassin's Creed* series
*Far Cry* series
*Ghost Recon* series
*Splinter Cell* series
*Just Dance* series",video game developer,1,Adventure,Ubisoft,48,0.06,8.95,E,2004
Armored Core: Formula Front - Extreme Battle,Sony PSP,,,,,,1,"Action,Strategy",nan,66,0.05,16.95,E,2004
Puyo Pop Fever,Nintendo DS,Sega,"Tokyo, Japan",1960.0,"*Sonic the Hedgehog* series
*Phantasy Star* series
*Virtua Fighter series*",video game developer; merged with Sammy Studios as Sega Sammy Holdings,1,"Action,Strategy",Sega,76,0.04,19.95,E,2004
Mario Kart DS,Nintendo DS,Nintendo,"Kyoto, Japan",1889.0,"*Mario*
*The Legend of Zelda*
*Metroid*
*Pokémon*
*Pikmin*
*Kirby*
*Animal Crossing*",video game developer,1,Racing / Driving,Nintendo,91,9.99,29.95,E,2005
