Title,Length.All PlayStyles.Average,Length.All PlayStyles.Leisure,Length.All PlayStyles.Median,Length.All PlayStyles.Polled,Length.All PlayStyles.Rushed,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Median,Length.Completionists.Polled,Length.Completionists.Rushed,Length.Main + Extras.Average,Length.Main + Extras.Leisure,Length.Main + Extras.Median,Length.Main + Extras.Polled,Length.Main + Extras.Rushed,Length.Main Story.Average,Length.Main Story.Leisure,Length.Main Story.Median,Length.Main Story.Polled,Length.Main Story.Rushed
Super Mario 64 DS,22.716666666666665,31.9,24.483333333333334,57,14.3,29.766666666666666,35.03333333333333,30.0,20,22.016666666666666,24.916666666666668,29.966666666666665,25.0,16,18.333333333333332,14.333333333333334,18.316666666666663,14.5,21,9.7
Lumines: Puzzle Fusion,10.1,11.016666666666667,10.0,5,9.516666666666667,0.0,0.0,0.0,0,0.0,9.75,9.866666666666667,9.75,2,9.616666666666667,10.333333333333334,11.083333333333334,10.0,3,9.583333333333334
WarioWare Touched!,4.566666666666666,11.566666666666666,2.5,57,2.2666666666666666,10.0,14.1,7.25,16,6.8,3.85,5.666666666666667,3.3333333333333335,11,2.783333333333333,1.9166666666666663,2.9333333333333336,1.8333333333333337,30,1.4333333333333331
Hot Shots Golf: Open Tee,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Spider-Man 2,13.25,48.38333333333333,10.0,37,7.066666666666666,72.56666666666666,78.86666666666666,72.56666666666666,2,66.28333333333333,12.766666666666667,17.316666666666666,12.5,12,10.483333333333333,8.35,11.083333333333334,8.0,23,5.333333333333333
The Urbz: Sims in the City,21.933333333333337,25.5,20.0,7,16.733333333333334,30.033333333333335,30.033333333333335,30.033333333333335,2,30.033333333333335,20.833333333333332,25.2,20.0,3,16.45,15.5,15.75,15.5,2,15.25
Ridge Racer,0.8166666666666667,1.05,0.8833333333333333,6,0.5833333333333334,1.25,1.25,1.25,1,1.25,0.8833333333333333,0.9333333333333332,0.8833333333333333,2,0.8333333333333334,0.6166666666666667,0.7833333333333333,0.5333333333333333,3,0.45
Metal Gear Ac!d,25.383333333333333,51.65,21.266666666666666,18,19.166666666666668,80.0,80.0,80.0,1,80.0,24.833333333333332,27.483333333333334,25.1,6,21.916666666666668,20.7,23.6,20.783333333333335,11,17.883333333333333
Madden NFL 2005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Pokmon Dash,3.8333333333333335,7.25,1.1833333333333331,4,1.75,12.0,12.0,12.0,1,12.0,0.0,0.0,0.0,0,0.0,1.1166666666666667,1.2,1.0833333333333333,3,1.05
Dynasty Warriors,8.883333333333333,18.05,2.0833333333333335,4,3.1166666666666667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,8.883333333333333,18.05,2.0833333333333335,4,3.1166666666666667
Feel the Magic XY/XX,2.9,3.8,3.0,9,2.3166666666666664,0.0,0.0,0.0,0,0.0,3.1,3.15,3.1,2,3.05,2.85,3.783333333333333,2.9833333333333334,7,2.3
Ridge Racer DS,2.2333333333333334,2.2333333333333334,2.2333333333333334,1,2.2333333333333334,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2.2333333333333334,2.2333333333333334,2.2333333333333334,1,2.2333333333333334
Darkstalkers Chronicle: The Chaos Tower,1.6333333333333333,2.4,2.0,7,1.0666666666666669,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1.6333333333333333,2.4,2.0,7,1.0666666666666669
Ape Escape Academy,1.8833333333333333,1.8833333333333333,1.8833333333333333,1,1.8833333333333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1.8833333333333333,1.8833333333333333,1.8833333333333333,1,1.8833333333333333
Polarium,6.733333333333333,9.183333333333334,6.0,5,5.266666666666667,12.0,12.0,12.0,1,12.0,0.0,0.0,0.0,0,0.0,5.416666666666667,5.783333333333333,5.75,4,4.866666666666667
Asphalt: Urban GT,12.4,13.7,12.4,2,11.1,9.816666666666666,9.816666666666666,9.816666666666666,1,9.816666666666666,0.0,0.0,0.0,0,0.0,15.0,15.0,15.0,1,15.0
Zoo Keeper,7.15,8.9,5.0,5,5.033333333333333,11.75,11.75,11.75,1,11.75,0.0,0.0,0.0,0,0.0,6.0,7.75,5.0,4,4.75
Mr. DRILLER: Drill Spirits,9.883333333333333,10.983333333333333,9.883333333333333,2,8.766666666666667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.883333333333333,10.983333333333333,9.883333333333333,2,8.766666666666667
Sprung,17.75,17.75,17.75,1,17.75,17.75,17.75,17.75,1,17.75,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
